Set Name,PG File Path,Topic,Used,Original Path
Week3,Reorganized/StarsAndBars/Envelopes1.pg,Stars And Bars,1,setCombinatorics/Envelopes1.pg
Week3,Reorganized/Poker/q1.pg,Poker,0,setAssignment3/q1.pg
Week3,Reorganized/Poker/q2.pg,Poker,1,setAssignment3/q2.pg
Week3,Reorganized/Poker/q3.pg,Poker,0,setAssignment3/q3.pg
Week3,Reorganized/Poker/q4_0.pg,Poker,1,local/setAssignment3/q4_0.pg
Week3,Reorganized/Poker/q4_1.pg,Poker,0,local/setAssignment3/q4_1.pg
Week3,Reorganized/Poker/q4_2.pg,Poker,1,local/setAssignment3/q4_2.pg
Week3,Reorganized/Poker/q4_3.pg,Poker,0,local/setAssignment3/q4_3.pg
Week3,Reorganized/Poker/q4_4.pg,Poker,1,local/setAssignment3/q4_4.pg
Week3,Reorganized/Poker/q4_5.pg,Poker,0,local/setAssignment3/q4_5.pg
Week3,Reorganized/Poker/q4_6.pg,Poker,1,local/setAssignment3/q4_6.pg
Week3,Reorganized/Poker/q4_7.pg,Poker,0,local/setAssignment3/q4_7.pg
Week3,Reorganized/Poker/q4_8.pg,Poker,0,local/setAssignment3/q4_8.pg
Week3,Reorganized/Poker/q4_9.pg,Poker,0,local/setAssignment3/q4_9.pg
Week4,Reorganized/CumulativeDistributionFunctions/cdf_rs.pg,Cumulative Distribution Functions,1,setAssignment10.23.13/cdf_rs.pg
Week4,Reorganized/CumulativeDistributionFunctions/cumulative_uniform_masses_1.pg,Cumulative Distribution Functions,0,setmelkherj/cumulative_uniform_masses_1.pg
Week4,Reorganized/CumulativeDistributionFunctions/cumulative_uniform_masses_2.pg,Cumulative Distribution Functions,0,setmelkherj/cumulative_uniform_masses_2.pg
Week4,Reorganized/CumulativeDistributionFunctions/cumulative_uniform_masses_5.pg,Cumulative Distribution Functions,1,setmelkherj/cumulative_uniform_masses_5.pg
Week4,Reorganized/CumulativeDistributionFunctions/cdf_random.pg,Cumulative Distribution Functions,1,setCDF/cdf_random.pg
Week4,Reorganized/CumulativeDistributionFunctions/cdf_random.pg,Cumulative Distribution Functions,0,setCDF/cdf_random.pg
Week4,Reorganized/CumulativeDistributionFunctions/cdf_random.pg,Cumulative Distribution Functions,0,setCDF/cdf_random.pg
Week4,Reorganized/BayesConditional/BayesBurglary_ZZ.pg,Bayes Conditional,1,setAssignment6/BayesBurglary_ZZ.pg
Week4,Reorganized/BayesConditional/probs_42_with_randomization.pg,Bayes Conditional,0,setAssignment7/probs_42_with_randomization.pg
